id,name,nickname,email,phone_number,birth_date,gender,profile_image_url,interested_categories,reported_count,created_at,updated_at
82f7738b-90aa-4828-9465-5032adb03939,김중수,yejii_202,jeongunggim@example.org,044-354-6798,1991-09-16,male,https://picsum.photos/id/200/200/200,"{생활용품,뷰티헬스케어}",0,2025-05-06 05:35:44,2025-06-15 04:10:43
7f2255c4-6a2d-406d-a659-8427f06e5cc6,김은경,dgweon_292,junhyeog83@example.com,042-849-7647,1998-07-28,female,https://picsum.photos/id/201/200/200,"{생활용품,패션잡화,뷰티헬스케어}",0,2025-04-26 22:30:18,2024-10-01 11:11:18
6ca41182-fad9-4998-86d5-7eb63016e458,강경숙,yeonghogim_723,zgim@example.net,032-151-0164,1989-05-30,male,https://picsum.photos/id/202/200/200,"{생활용품,식품간식류,패션잡화}",0,2025-06-25 09:06:09,2025-06-20 15:26:01
9e279c41-f070-4c29-a9c2-c4da9b19563c,김승현,bagjaehyeon_961,sonseonghyeon@example.com,055-505-8062,1984-03-05,male,https://picsum.photos/id/203/200/200,{생활용품},0,2025-05-24 10:05:10,2025-03-03 15:07:43
f5cc5577-7637-4649-bcb2-0eefd29693ec,박지원,hongyeji_616,yejigim@example.net,016-558-4104,1976-01-12,female,https://picsum.photos/id/204/200/200,"{뷰티헬스케어,패션잡화,생활용품}",0,2024-12-01 06:43:00,2025-05-30 12:39:01
c333311d-dd08-4fdf-946b-d081a43eba07,한성민,mi_866,cunjabag@example.com,011-208-1753,1979-02-28,female,https://picsum.photos/id/205/200/200,"{식품간식류,생활용품,패션잡화}",0,2025-06-23 09:41:37,2025-03-16 09:48:12
ae212b90-ad55-4276-b67a-5500853d5830,박민준,bson_678,junho35@example.net,032-847-3079,1970-10-16,female,https://picsum.photos/id/206/200/200,"{식품간식류,뷰티헬스케어}",0,2025-02-03 08:06:29,2025-03-07 02:35:10
b5081117-c59e-4304-992c-5f7d8b13e3dc,류영미,jojeongnam_865,ujin87@example.com,032-560-2363,1979-03-28,male,https://picsum.photos/id/207/200/200,"{패션잡화,식품간식류,생활용품}",0,2025-01-06 17:49:02,2024-11-02 17:07:15
13bf35c2-7488-489c-b128-8b94771b4108,황서윤,jihu23_684,hongjinu@example.net,042-816-3084,1992-08-20,female,https://picsum.photos/id/208/200/200,"{식품간식류,패션잡화,생활용품}",0,2025-02-02 16:56:30,2025-03-30 20:47:01
e69461d0-7d4e-48ae-9762-c18ac3ff66f0,김지연,hwangmiyeong_379,caeweono@example.org,02-1145-3323,2000-08-17,male,https://picsum.photos/id/209/200/200,"{생활용품,패션잡화}",1,2025-04-09 12:29:56,2024-12-06 21:45:18
ca8f5e6c-037a-475c-92f6-0536a9525ef2,김주원,dgim_670,yeeun89@example.org,010-4403-5287,1976-06-04,male,https://picsum.photos/id/210/200/200,{식품간식류},0,2025-04-24 03:10:01,2025-07-12 02:37:15
60fa77f6-2de1-4080-bbfa-0f9fff43bf55,문명자,minjii_108,jiyeonsim@example.com,062-241-2265,1992-02-19,female,https://picsum.photos/id/211/200/200,"{식품간식류,생활용품}",0,2025-05-10 23:24:08,2024-10-03 08:12:11
c8d15fd9-c066-4dd4-ae61-277c54922294,박선영,bagyeongmi_555,gimmyeongsug@example.org,016-160-6465,1990-07-06,female,https://picsum.photos/id/212/200/200,{뷰티헬스케어},0,2025-06-13 23:28:09,2024-12-27 15:27:10
